INFO:root:Starting crawling
DEBUG:root:Folder debian
DEBUG:root:Folder distros
DEBUG:root:Folder mirrors
DEBUG:root:Folder traffic
DEBUG:root:File traffic.html
DEBUG:root:Entering folder 	debian
DEBUG:root:File Archive-Update-in-Progress-ftp.upcnet.ro
DEBUG:root:File README
DEBUG:root:File README.CD-manufacture
DEBUG:root:File README.html
DEBUG:root:File README.mirrors.html
DEBUG:root:File README.mirrors.txt
DEBUG:root:Folder dists
DEBUG:root:Folder doc
DEBUG:root:File extrafiles
DEBUG:root:Folder indices
DEBUG:root:File ls-lR.gz
DEBUG:root:Folder pool
DEBUG:root:Folder project
DEBUG:root:Folder tools
DEBUG:root:Folder zzz-dists
DEBUG:root:Entering folder 	dists
DEBUG:root:Folder Debian7.11
DEBUG:root:Folder Debian8.9
DEBUG:root:Folder Debian9.1
DEBUG:root:File README
DEBUG:root:Folder buster
DEBUG:root:Folder buster-proposed-updates
DEBUG:root:Folder buster-updates
DEBUG:root:Folder experimental
DEBUG:root:Folder jessie
DEBUG:root:Folder jessie-backports
DEBUG:root:Folder jessie-backports-sloppy
DEBUG:root:Folder jessie-kfreebsd
DEBUG:root:Folder jessie-kfreebsd-proposed-updates
DEBUG:root:Folder jessie-proposed-updates
DEBUG:root:Folder jessie-updates
DEBUG:root:Folder oldoldstable
DEBUG:root:Folder oldoldstable-backports
DEBUG:root:Folder oldoldstable-backports-sloppy
DEBUG:root:Folder oldoldstable-proposed-updates
DEBUG:root:Folder oldoldstable-updates
DEBUG:root:Folder oldstable
DEBUG:root:Folder oldstable-backports
DEBUG:root:Folder oldstable-backports-sloppy
DEBUG:root:Folder oldstable-kfreebsd
DEBUG:root:Folder oldstable-kfreebsd-proposed-updates
DEBUG:root:Folder oldstable-proposed-updates
DEBUG:root:Folder oldstable-updates
DEBUG:root:Folder proposed-updates
DEBUG:root:Folder rc-buggy
DEBUG:root:Folder sid
DEBUG:root:Folder stable
DEBUG:root:Folder stable-backports
DEBUG:root:Folder stable-proposed-updates
DEBUG:root:Folder stable-updates
DEBUG:root:Folder stretch
DEBUG:root:Folder stretch-backports
DEBUG:root:Folder stretch-proposed-updates
DEBUG:root:Folder stretch-updates
DEBUG:root:Folder testing
DEBUG:root:Folder testing-proposed-updates
DEBUG:root:Folder testing-updates
DEBUG:root:Folder unstable
DEBUG:root:Folder wheezy
DEBUG:root:Folder wheezy-backports
DEBUG:root:Folder wheezy-backports-sloppy
DEBUG:root:Folder wheezy-proposed-updates
DEBUG:root:Folder wheezy-updates
DEBUG:root:Entering folder 	Debian7.11
DEBUG:root:File ChangeLog
DEBUG:root:File Contents-amd64.gz
DEBUG:root:File Contents-armel.gz
DEBUG:root:File Contents-armhf.gz
DEBUG:root:File Contents-i386.gz
DEBUG:root:File Contents-ia64.gz
DEBUG:root:File Contents-kfreebsd-amd64.gz
DEBUG:root:File Contents-kfreebsd-i386.gz
DEBUG:root:File Contents-mips.gz
DEBUG:root:File Contents-mipsel.gz
DEBUG:root:File Contents-powerpc.gz
DEBUG:root:File Contents-s390.gz
DEBUG:root:File Contents-s390x.gz
DEBUG:root:File Contents-sparc.gz
DEBUG:root:File Release
DEBUG:root:File Release.gpg
DEBUG:root:Folder contrib
DEBUG:root:Folder main
DEBUG:root:Folder non-free
DEBUG:root:Entering folder 	contrib
DEBUG:root:File Contents-amd64.gz
DEBUG:root:File Contents-armel.gz
DEBUG:root:File Contents-armhf.gz
DEBUG:root:File Contents-i386.gz
DEBUG:root:File Contents-ia64.gz
DEBUG:root:File Contents-kfreebsd-amd64.gz
DEBUG:root:File Contents-kfreebsd-i386.gz
DEBUG:root:File Contents-mips.gz
DEBUG:root:File Contents-mipsel.gz
DEBUG:root:File Contents-powerpc.gz
DEBUG:root:File Contents-s390.gz
DEBUG:root:File Contents-s390x.gz
DEBUG:root:File Contents-source.gz
DEBUG:root:File Contents-sparc.gz
DEBUG:root:File Contents-udeb-amd64.gz
DEBUG:root:File Contents-udeb-armel.gz
DEBUG:root:File Contents-udeb-armhf.gz
DEBUG:root:File Contents-udeb-i386.gz
DEBUG:root:File Contents-udeb-ia64.gz
DEBUG:root:File Contents-udeb-kfreebsd-amd64.gz
DEBUG:root:File Contents-udeb-kfreebsd-i386.gz
DEBUG:root:File Contents-udeb-mips.gz
DEBUG:root:File Contents-udeb-mipsel.gz
DEBUG:root:File Contents-udeb-powerpc.gz
DEBUG:root:File Contents-udeb-s390.gz
DEBUG:root:File Contents-udeb-s390x.gz
DEBUG:root:File Contents-udeb-sparc.gz
DEBUG:root:Folder binary-all
DEBUG:root:Folder binary-amd64
DEBUG:root:Folder binary-armel
DEBUG:root:Folder binary-armhf
DEBUG:root:Folder binary-i386
